,BREAD,EGG,CHEESE,PEACH,TOMATOES,PARMESAN,total
Water_(g),41.348714285714294,222.502,276.7385600000001,110.42911764705883,421.4249999999999,25.799999999999997,1098.2433919327732
Energ_Kcal,332.6142857142857,925.1,1619.2399999999998,141.08823529411765,272.5,1110.0,4400.542521008403
Protein_(g),10.771428571428567,84.69500000000006,113.91687999999998,1.6394117647058821,11.45357142857143,120.0,342.47629176470593
Lipid_Tot_(g),6.347714285714283,47.30499999999999,114.43039999999996,0.32911764705882357,7.803571428571429,15.0,191.21580336134448
Ash_(g),2.595714285714286,9.585999999999999,21.813119999999984,1.0641176470588238,9.557142857142857,19.200000000000003,63.81609478991595
Carbohydrt_(g),58.90757142857143,35.95,33.24272,36.54176470588236,49.767857142857125,120.0,334.4099132773109
Fiber_TD_(g),5.954999999999999,1.7846153846153845,0.5028571428571429,2.75,12.230769230769232,0.0,23.22324175824176
Sugar_Tot_(g),7.034057142857142,11.635675675675673,15.090173913043476,24.4225,34.56666666666668,4.5,97.24907339824297
Calcium_(mg),104.05714285714285,375.4,3312.288,13.147058823529413,142.14285714285714,2400.0,6347.03505882353
Iron_(mg),3.2679999999999993,8.649000000000004,2.4528000000000003,1.5617647058823532,7.128571428571428,15.0,38.060136134453785
Magnesium_(mg),48.885714285714286,93.2,145.208,18.794117647058822,147.14285714285714,120.0,573.2306890756303
Phosphorus_(mg),182.35714285714286,882.7,2633.344,48.970588235294116,287.85714285714283,2100.0,6135.22887394958
Potassium_(mg),257.2142857142857,1184.1,883.568,411.61764705882354,2705.3571428571427,1800.0,7241.857075630252
Sodium_(mg),580.9857142857143,2112.4,4480.056,7.588235294117647,750.7142857142857,3450.0,11381.744235294118
Zinc_(mg),1.2101428571428567,5.501999999999997,13.899760000000002,0.2761764705882353,1.6785714285714288,9.0,31.566650756302522
Copper_mg),0.2519571428571428,0.3276,0.333536,0.17479411764705882,1.0507142857142857,0.06,2.198601546218488
Manganese_(mg),0.9594900000000002,0.3151578947368421,0.17255466666666663,0.14809999999999998,1.3025000000000002,,2.897802561403509
Selenium_(µg),30.488,201.17,82.33680000000003,0.43846153846153846,5.538461538461538,129.89999999999998,449.87172307692305
Vit_C_(mg),1.00987012987013,5.6923076923076925,1.9828571428571429,15.432352941176472,112.64285714285717,0.0,136.7602450490686
Thiamin_(mg),0.4384915662650602,0.4446,0.26258399999999976,0.01773529411764706,0.8535714285714286,0.15000000000000002,2.1669822889541357
